"Step","ddqn_5jioz8z8 - Ask Price","ddqn_5jioz8z8 - Ask Price__MIN","ddqn_5jioz8z8 - Ask Price__MAX"
"73292","100.03","100.03","100.03"
"73330","100.05","100.05","100.05"
"73495","100.02","100.02","100.02"
"73504","100.03999999999999","100.03999999999999","100.03999999999999"
"73713","100.03999999999999","100.03999999999999","100.03999999999999"
"73837","100","100","100"
"73846","100.05","100.05","100.05"
"73961","99.98","99.98","99.98"
"74046","100.03","100.03","100.03"
"74204","100.00999999999999","100.00999999999999","100.00999999999999"
"74267","100.02","100.02","100.02"
"74318","100.02","100.02","100.02"
"74427","100.03999999999999","100.03999999999999","100.03999999999999"
"74484","100.05","100.05","100.05"
"74509","100","100","100"
"74512","100","100","100"
"74573","100.06","100.06","100.06"
"74669","100.06","100.06","100.06"
"74728","100.06","100.06","100.06"
"74918","100.06","100.06","100.06"
"74953","100.03","100.03","100.03"
"75249","100","100","100"
"75288","100.02","100.02","100.02"
"75309","100.02","100.02","100.02"
"75430","100.03","100.03","100.03"
"75450","100.03999999999999","100.03999999999999","100.03999999999999"
"75466","100.02","100.02","100.02"
"75483","100.02","100.02","100.02"
"75539","100.04","100.04","100.04"
"75680","100.02","100.02","100.02"
"75938","100","100","100"
"75977","100.02","100.02","100.02"
"75984","100.02","100.02","100.02"
"76196","100.08","100.08","100.08"
"76330","100.02","100.02","100.02"
"76381","100","100","100"
"76385","100.00999999999999","100.00999999999999","100.00999999999999"
"76414","100.06","100.06","100.06"
"76442","100.03","100.03","100.03"
"76576","100.05","100.05","100.05"
"76664","100.02","100.02","100.02"
"76683","99.96","99.96","99.96"
"76789","100","100","100"
"76904","100.05","100.05","100.05"
"76928","100.06","100.06","100.06"
"76982","100.03","100.03","100.03"
"77137","100.00999999999999","100.00999999999999","100.00999999999999"
"77323","99.99","99.99","99.99"
"77468","100.02","100.02","100.02"
